,DeathOld,DeathYoung,TotalDeathOld,TotalDeathYoung,TotalDeath,TotalDeathRatioOld
2020-09-01,0,0,34,4,38,0.894736842
2020-09-02,0,0,34,4,38,0.894736842
2020-09-03,0,0,34,4,38,0.894736842
2020-09-04,0,0,34,4,38,0.894736842
2020-09-05,1,1,35,5,40,0.875
2020-09-06,0,0,35,5,40,0.875
2020-09-07,0,1,35,6,41,0.853658537
2020-09-08,0,1,35,7,42,0.833333333
2020-09-09,1,0,36,7,43,0.837209302
2020-09-10,0,0,36,7,43,0.837209302
2020-09-11,0,0,36,7,43,0.837209302
2020-09-12,0,1,36,8,44,0.818181818
2020-09-13,0,0,36,8,44,0.818181818
2020-09-14,0,0,36,8,44,0.818181818
2020-09-15,2,0,38,8,46,0.826086957
2020-09-16,0,0,36,8,44,0.818181818
2020-09-17,3,0,41,8,49,0.836734694
2020-09-18,2,0,43,8,51,0.843137255
2020-09-19,1,0,44,8,52,0.846153846
2020-09-20,0,0,44,8,52,0.846153846
2020-09-21,3,0,47,8,55,0.854545455
2020-09-22,1,0,48,8,56,0.857142857
2020-09-23,2,0,50,8,58,0.862068966
2020-09-24,0,0,50,8,58,0.862068966
2020-09-25,0,0,50,8,58,0.862068966
2020-09-26,0,0,50,8,58,0.862068966
2020-09-27,1,0,51,8,59,0.86440678
2020-09-28,2,2,53,10,63,0.841269841
2020-09-29,0,2,53,12,65,0.815384615
2020-09-30,0,1,53,13,66,0.803030303
2020-10-01,3,0,56,13,69,0.811594203
2020-10-02,7,4,63,17,80,0.7875
2020-10-03,4,0,67,17,84,0.797619048
2020-10-04,3,0,70,17,87,0.804597701
2020-10-05,2,2,72,19,91,0.791208791
2020-10-06,3,0,75,19,94,0.79787234
2020-10-07,5,0,80,19,99,0.808080808
2020-10-08,2,1,82,20,102,0.803921569
2020-10-09,5,3,87,23,110,0.790909091
2020-10-10,5,0,92,23,115,0.8
2020-10-11,2,1,94,24,118,0.796610169
2020-10-12,6,0,100,24,124,0.806451613
2020-10-13,5,2,105,26,131,0.801526718
2020-10-14,5,3,110,29,139,0.791366906
2020-10-15,7,0,117,29,146,0.801369863
2020-10-16,10,1,127,30,157,0.808917197
2020-10-17,10,0,137,30,167,0.820359281
2020-10-18,5,3,142,33,175,0.811428571
2020-10-19,8,4,150,37,187,0.802139037
2020-10-20,8,4,158,41,199,0.793969849
2020-10-21,12,2,170,43,213,0.798122066
2020-10-22,14,2,184,45,229,0.80349345
2020-10-23,19,3,203,48,251,0.80876494
2020-10-24,8,2,211,50,261,0.808429119
2020-10-25,8,4,219,54,273,0.802197802
2020-10-26,12,3,231,57,288,0.802083333
2020-10-27,12,4,243,61,304,0.799342105
2020-10-28,26,4,269,65,334,0.805389222
2020-10-29,14,2,283,67,350,0.808571429
2020-10-30,16,2,299,69,368,0.8125
2020-10-31,16,4,315,73,388,0.81185567
2020-11-01,21,4,336,77,413,0.813559322
2020-11-02,24,3,360,80,440,0.818181818
2020-11-03,23,3,383,83,466,0.821888412
2020-11-04,21,2,404,85,489,0.826175869
2020-11-05,18,2,420,87,507,0.828402367
2020-11-06,17,1,434,88,522,0.831417625
2020-11-07,23,1,453,89,542,0.835793358
2020-11-08,20,5,469,93,562,0.834519573
2020-11-09,26,4,489,97,586,0.83447099
2020-11-10,18,3,507,99,606,0.836633663
2020-11-11,22,1,527,100,627,0.840510367
2020-11-12,32,3,556,103,659,0.84370258
2020-11-13,23,3,578,106,684,0.84502924
2020-11-14,27,4,604,110,714,0.845938375
2020-11-15,28,1,621,111,732,0.848360656
2020-11-16,16,0,637,111,748,0.851604278
2020-11-17,29,4,665,115,780,0.852564103
2020-11-18,16,0,679,115,794,0.855163728
2020-11-19,28,4,706,119,825,0.855757576
2020-11-20,28,4,733,123,856,0.856308411
2020-11-21,22,3,753,126,879,0.85665529
2020-11-22,20,3,770,128,898,0.857461024
2020-11-23,17,3,786,131,917,0.857142857
2020-11-24,25,5,810,136,946,0.856236786
2020-11-25,20,6,829,142,971,0.853759011
2020-11-26,27,5,854,147,1001,0.853146853
2020-11-27,25,8,878,154,1032,0.850775194
2020-11-28,25,5,900,159,1059,0.849858357
2020-11-29,21,2,916,161,1077,0.850510678
2020-11-30,23,7,938,165,1103,0.850407978
2020-12-01,15,4,951,170,1118,0.850407978
2020-12-02,20,2,995,175,1170,0.850407978
2020-12-03,29,4,1027,181,1208,0.850407978
2020-12-04,24,7,1049,185,1234,0.850407978
2020-12-05,28,5,1062,187,1249,0.850407978
2020-12-06,27,6,1083,191,1274,0.850407978
2020-12-07,22,5,1119,197,1316,0.850407978
2020-12-08,30,1,1155,203,1358,0.850407978
2020-12-09,36,3,1177,207,1384,0.850407978
2020-12-10,30,6,1201,211,1412,0.850407978
2020-12-11,25,6,1225,216,1441,0.850407978
2020-12-12,32,5,1257,221,1478,0.850407978
2020-12-13,34,6,1291,227,1518,0.850407978
2020-12-14,33,6,1348,237,1585,0.850407978
2020-12-15,36,7,1411,248,1659,0.850407978
2020-12-16,28,3,1482,261,1743,0.850407978
2020-12-17,36,5,1547,272,1819,0.850407978
2020-12-18,28,6,1613,284,1897,0.850407978
2020-12-19,34,8,1657,292,1949,0.850407978
2020-12-20,32,8,1714,301,2015,0.850407978
2020-12-21,34,6,1714,301,2015,0.850407978
2020-12-22,35,9,1791,315,2106,0.850407978
2020-12-23,48,6,1838,323,2161,0.850407978
2020-12-24,46,4,1838,323,2161,0.850407978
2020-12-25,36,1,1838,323,2161,0.850407978
2020-12-26,46,7,1897,334,2231,0.850407978
2020-12-27,40,11,2021,356,2377,0.850407978
2020-12-28,44,10,2112,372,2484,0.850407978
2020-12-29,38,8,2187,385,2572,0.850407978
2020-12-30,35,7,2270,399,2669,0.850407978
2020-12-31,127,1,2397,422,2819,0.850407978
2021-01-01,0,0,2397,422,2819,0.850407978
2021-01-02,76,13,2473,435,2908,0.850407978
2021-01-03,190,33,2663,468,3131,0.850407978
2021-01-04,80,14,2743,482,3225,0.850407978
2021-01-05,50,9,2793,491,3284,0.850407978
2021-01-06,55,10,2848,501,3349,0.850407978
2021-01-07,65,12,2913,513,3426,0.850407978
2021-01-08,46,8,2959,521,3480,0.850407978
2021-01-09,79,13,3038,534,3572,0.850407978
2021-01-10,83,15,3121,549,3670,0.850407978
2021-01-11,85,15,3206,564,3770,0.850407978
2021-01-12,59,10,3265,574,3839,0.850407978
2021-01-13,91,16,3356,590,3946,0.850407978
2021-01-14,100,18,3456,608,4064,0.850407978
2021-01-15,50,9,3506,617,4123,0.850407978
2021-01-16,70,12,3576,629,4205,0.850407978
2021-01-17,62,11,3638,640,4278,0.850407978
2021-01-18,117,21,3755,661,4416,0.850407978
2021-01-19,91,16,3846,677,4523,0.850407978
2021-01-20,77,13,3923,690,4613,0.850407978
2021-01-21,93,16,4016,706,4722,0.850407978
2021-01-22,80,14,4096,720,4816,0.850407978
2021-01-23,109,20,4205,740,4945,0.850407978
2021-01-24,0,0,4205,740,4945,0.850407978
2021-01-25,187,32,4392,772,5164,0.850407978
2021-01-26,105,19,4497,791,5288,0.850407978
2021-01-27,59,10,4556,801,5357,0.850407978
2021-01-28,94,17,4650,818,5468,0.850407978
2021-01-29,79,14,4729,832,5561,0.850407978
2021-01-30,89,15,4818,847,5665,0.850407978
2021-01-31,68,13,4886,860,5746,0.850407978
2021-02-01,97,16,4983,876,5859,0.850407978
2021-02-02,95,17,5078,893,5971,0.850407978
2021-02-03,78,14,5156,907,6063,0.850407978
2021-02-04,65,11,5221,918,6139,0.850407978
2021-02-05,95,17,5316,935,6251,0.850407978
2021-02-06,81,14,5397,949,6346,0.850407978
2021-02-07,65,12,5462,961,6423,0.850407978
2021-02-08,109,19,5571,980,6551,0.850407978
2021-02-09,116,20,5687,1000,6687,0.850407978
2021-02-10,114,21,5801,1021,6822,0.850407978
2021-02-11,96,16,5897,1037,6934,0.850407978
2021-02-12,69,13,5966,1050,7016,0.850407978
2021-02-13,75,13,6041,1063,7104,0.850407978
2021-02-14,66,11,6107,1074,7181,0.850407978
2021-02-15,109,19,6216,1093,7309,0.850407978
2021-02-16,95,17,6311,1110,7421,0.850407978
2021-02-17,100,18,6411,1128,7539,0.850407978
2021-02-18,71,12,6482,1140,7622,0.850407978
2021-02-19,70,13,6569,1156,7725,0.850407978
2021-02-20,79,14,6648,1170,7818,0.850407978
2021-02-21,80,13,6728,1183,7911,0.850407978
2021-02-22,87,16,6815,1199,8014,0.850407978
2021-02-23,103,18,6918,1217,8135,0.850407978
2021-02-24,80,14,6998,1231,8229,0.850407978
2021-02-25,105,18,7103,1249,8352,0.850407978
2021-02-26,121,22,7224,1271,8495,0.850407978
