Date,D1,D2
2021-01-04,0,0
2021-01-05,425,0
2021-01-06,6193,0
2021-01-07,7043,0
2021-01-08,7041,0
2021-01-09,1609,0
2021-01-10,3045,0
2021-01-11,4055,0
2021-01-12,10566,0
2021-01-13,6750,0
2021-01-14,7456,0
2021-01-15,7854,0
2021-01-16,1362,0
2021-01-17,54,0
2021-01-18,8386,582
2021-01-19,7490,461
2021-01-20,7018,864
2021-01-21,6671,648
2021-01-22,6637,133
2021-01-23,276,0
2021-01-24,0,0
2021-01-25,6668,2293
2021-01-26,6972,256
2021-01-27,6791,272
2021-01-28,8350,1522
2021-01-29,9465,2334
2021-01-30,1389,3
2021-01-31,113,168
2021-02-01,8851,2909
2021-02-02,8812,3445
2021-02-03,9375,2330
2021-02-04,8870,5551
2021-02-05,8380,6665
2021-02-06,2088,696
2021-02-07,180,0
2021-02-08,7396,3886
2021-02-09,7319,7540
2021-02-10,6555,6506
2021-02-11,7189,6601
2021-02-12,7695,6393
2021-02-13,3890,419
2021-02-14,10603,205
2021-02-15,6726,6797
2021-02-16,4984,6348
2021-02-17,5560,6058
2021-02-18,4594,6597
2021-02-19,6333,6844
2021-02-20,6360,283
2021-02-21,6316,0
2021-02-22,5626,6890
2021-02-23,6151,6561
2021-02-24,6148,6820
2021-02-25,3222,7859
2021-02-26,3921,9063
2021-02-27,8824,884
2021-02-28,5566,0
2021-03-01,5932,9205
2021-03-02,5590,9682
2021-03-03,4235,9098
2021-03-04,4370,8682
2021-03-05,5565,7226
2021-03-06,18794,2058
2021-03-07,12449,192
2021-03-08,5145,8656
2021-03-09,3229,6777
2021-03-10,3990,6758
2021-03-11,11396,6979
2021-03-12,13675,6218
2021-03-13,21489,2132
2021-03-14,16235,176
2021-03-15,14412,3867
2021-03-16,16000,3533
2021-03-17,15941,3791
2021-03-18,17180,3868
2021-03-19,13428,6168
2021-03-20,18579,1597
2021-03-21,15323,757
2021-03-22,18735,3321
2021-03-23,18600,4577
2021-03-24,18635,4092
2021-03-25,17079,2982
2021-03-26,17956,2008
2021-03-27,14324,165
2021-03-28,9150,1
2021-03-29,20207,1320
2021-03-30,19204,1903
2021-03-31,21162,1958
2021-04-01,20346,1728
2021-04-02,4655,102
2021-04-03,11284,164
2021-04-04,4096,0
2021-04-05,369,4
2021-04-06,16622,3499
2021-04-07,20740,2221
2021-04-08,15266,8113
2021-04-09,17012,9625
2021-04-10,20826,862
2021-04-11,19798,1264
2021-04-12,11796,10442
2021-04-13,9642,11639
2021-04-14,10298,11178
2021-04-15,11373,12769
2021-04-16,14925,12759
2021-04-17,25742,367
2021-04-18,12308,94
2021-04-19,9479,11693
2021-04-20,8177,14237
2021-04-21,7497,14066
2021-04-22,8906,13797
2021-04-23,9115,15491
2021-04-24,14580,6757
2021-04-25,13247,5775
2021-04-26,8161,19159
2021-04-27,5410,16080
2021-04-28,6058,16284
2021-04-29,7842,17000
2021-04-30,18803,9693
2021-05-01,27106,4228
2021-05-02,17256,3288
2021-05-03,19174,2958
2021-05-04,10554,14882
2021-05-05,6172,17980
2021-05-06,12315,13647
2021-05-07,14974,14788
2021-05-08,33887,10279
2021-05-09,29368,2962
2021-05-10,24374,7382
2021-05-11,21698,8149
2021-05-12,18925,10938
2021-05-13,18036,12097
2021-05-14,21707,14584
2021-05-15,25756,20434
2021-05-16,22971,9223
2021-05-17,21995,11871
2021-05-18,19839,10249
2021-05-19,21592,9261
2021-05-20,21618,13246
2021-05-21,26671,6351
2021-05-22,15073,13740
2021-05-23,14765,7648
